series,config,market,tick,frac,yes_mid,truth,cum_trades,trade_progress
100轮,c3_ethereum_t100_s0,ethereum,83,0.8383838383838383,0.15,0.0,250.0,0.8012820512820513
100轮,c3_ethereum_t100_s0,ethereum,84,0.8484848484848485,0.18,0.0,254.0,0.8141025641025641
100轮,c3_ethereum_t100_s0,ethereum,85,0.8585858585858586,0.19,0.0,258.0,0.8269230769230769
100轮,c3_ethereum_t100_s0,ethereum,86,0.8686868686868687,0.225,0.0,264.0,0.8461538461538461
100轮,c3_ethereum_t100_s0,ethereum,87,0.8787878787878788,0.235,0.0,270.0,0.8653846153846154
100轮,c3_ethereum_t100_s0,ethereum,88,0.8888888888888888,0.24,0.0,270.0,0.8653846153846154
100轮,c3_ethereum_t100_s0,ethereum,89,0.898989898989899,0.24,0.0,273.0,0.875
100轮,c3_ethereum_t100_s0,ethereum,90,0.9090909090909091,0.23,0.0,286.0,0.9166666666666666
100轮,c3_ethereum_t100_s0,ethereum,91,0.9191919191919192,0.235,0.0,292.0,0.9358974358974359
100轮,c3_ethereum_t100_s0,ethereum,92,0.9292929292929293,0.25,0.0,295.0,0.9455128205128205
100轮,c3_ethereum_t100_s0,ethereum,93,0.9393939393939394,0.235,0.0,296.0,0.9487179487179487
100轮,c3_ethereum_t100_s0,ethereum,94,0.9494949494949495,0.23,0.0,298.0,0.9551282051282052
100轮,c3_ethereum_t100_s0,ethereum,95,0.9595959595959596,0.23,0.0,302.0,0.967948717948718
100轮,c3_ethereum_t100_s0,ethereum,96,0.9696969696969697,0.23,0.0,302.0,0.967948717948718
100轮,c3_ethereum_t100_s0,ethereum,97,0.9797979797979798,0.23,0.0,306.0,0.9807692307692307
100轮,c3_ethereum_t100_s0,ethereum,98,0.98989898989899,0.23,0.0,308.0,0.9871794871794872
100轮,c3_ethereum_t100_s0,ethereum,99,1.0,0.23,0.0,312.0,1.0
10轮,c3_robotaxi_t10_s0,robotaxi,0,0.0,0.475,1.0,0.0,0.0
10轮,c3_robotaxi_t10_s0,robotaxi,0,0.0,0.475,1.0,2.0,0.06451612903225806
10轮,c3_robotaxi_t10_s0,robotaxi,1,0.1111111111111111,0.46499999999999997,1.0,6.0,0.1935483870967742
