模块,市场,条件,tick,累积成交笔数,平均信念,模拟市场价格,差距
信念更新工具,特斯拉 Robotaxi,开启信念更新,0,1.0,0.41200000000000003,0.49050000000000005,-0.07850000000000001
信念更新工具,特斯拉 Robotaxi,开启信念更新,1,5.0,0.409,0.48724999999999996,-0.07824999999999999
信念更新工具,特斯拉 Robotaxi,开启信念更新,2,15.0,0.421,0.491,-0.07
信念更新工具,特斯拉 Robotaxi,开启信念更新,3,18.0,0.425,0.485,-0.06
信念更新工具,特斯拉 Robotaxi,开启信念更新,4,22.0,0.4135,0.485,-0.07150000000000001
信念更新工具,特斯拉 Robotaxi,开启信念更新,5,24.0,0.4125,0.485,-0.07250000000000001
信念更新工具,特斯拉 Robotaxi,开启信念更新,6,26.0,0.409,0.49275,-0.08375000000000005
信念更新工具,特斯拉 Robotaxi,开启信念更新,7,28.0,0.4135,0.5,-0.08650000000000002
信念更新工具,特斯拉 Robotaxi,开启信念更新,8,28.0,0.41950000000000004,0.499,-0.07949999999999996
信念更新工具,特斯拉 Robotaxi,开启信念更新,9,30.0,0.417,0.495,-0.07800000000000001
信念更新工具,特斯拉 Robotaxi,开启信念更新,10,31.0,0.40800000000000003,0.49850000000000005,-0.09050000000000002
信念更新工具,特斯拉 Robotaxi,开启信念更新,11,35.0,0.378,0.49000000000000005,-0.11200000000000004
信念更新工具,特斯拉 Robotaxi,开启信念更新,12,44.0,0.354,0.4955,-0.14150000000000001
信念更新工具,特斯拉 Robotaxi,开启信念更新,13,53.0,0.3285,0.499,-0.17049999999999998
信念更新工具,特斯拉 Robotaxi,开启信念更新,14,55.0,0.3215,0.445,-0.1235
信念更新工具,特斯拉 Robotaxi,开启信念更新,15,57.0,0.3025,0.43574999999999997,-0.13324999999999998
信念更新工具,特斯拉 Robotaxi,开启信念更新,16,59.0,0.28250000000000003,0.40650000000000003,-0.124
信念更新工具,特斯拉 Robotaxi,开启信念更新,17,61.0,0.26349999999999996,0.3965,-0.13300000000000006
信念更新工具,特斯拉 Robotaxi,开启信念更新,18,64.0,0.236,0.373,-0.137
信念更新工具,特斯拉 Robotaxi,开启信念更新,19,66.0,0.20800000000000002,0.36,-0.15199999999999997
信念更新工具,特斯拉 Robotaxi,关闭信念更新,0,0.0,0.385625,0.46124999999999994,-0.07562499999999994
信念更新工具,特斯拉 Robotaxi,关闭信念更新,1,0.0,0.398125,0.46499999999999997,-0.06687499999999996
信念更新工具,特斯拉 Robotaxi,关闭信念更新,2,0.0,0.3852941176470588,0.4652941176470588,-0.08000000000000002
信念更新工具,特斯拉 Robotaxi,关闭信念更新,3,0.0,0.403125,0.474375,-0.07124999999999998
信念更新工具,特斯拉 Robotaxi,关闭信念更新,4,0.0,0.38533333333333336,0.485,-0.09966666666666663
信念更新工具,特斯拉 Robotaxi,关闭信念更新,5,0.0,0.42416666666666664,0.49291666666666667,-0.06875000000000003
信念更新工具,特斯拉 Robotaxi,关闭信念更新,6,0.0,0.40384615384615385,0.495,-0.09115384615384614
